,Group.1,Group.2,Group.3,x
1,1,6,2016,25.08333333
2,2,6,2016,36.375
3,3,6,2016,19.875
4,4,6,2016,38.45833333
5,5,6,2016,28.58333333
6,6,6,2016,37.25
7,7,6,2016,39.41666667
8,8,6,2016,32.5
9,9,6,2016,30.33333333
10,10,6,2016,29.20833333
11,11,6,2016,45.16666667
12,12,6,2016,19.29166667
13,13,6,2016,29.625
14,14,6,2016,35.45833333
15,15,6,2016,57.41666667
16,16,6,2016,88.66666667
17,17,6,2016,51.66666667
18,18,6,2016,25.20833333
19,19,6,2016,22
20,20,6,2016,16
21,21,6,2016,40.75
22,22,6,2016,34.86956522
23,23,6,2016,46.125
24,24,6,2016,38.08333333
25,25,6,2016,39.16666667
26,26,6,2016,29.54166667
27,27,6,2016,28
28,28,6,2016,45.91666667
29,29,6,2016,22.95833333
30,30,6,2016,26.79166667
31,1,7,2016,25.66666667
32,2,7,2016,18.20833333
33,3,7,2016,45.25
34,4,7,2016,30.54166667
35,5,7,2016,22.16666667
36,6,7,2016,18.04166667
37,7,7,2016,11.58333333
38,8,7,2016,10.04347826
39,9,7,2016,9.833333333
40,10,7,2016,18.5
41,11,7,2016,21
42,12,7,2016,47.91666667
43,13,7,2016,53.75
44,14,7,2016,38.91666667
45,15,7,2016,47.33333333
46,16,7,2016,59.45833333
47,17,7,2016,63.70833333
48,18,7,2016,29.83333333
49,19,7,2016,28.375
50,20,7,2016,36.43478261
51,21,7,2016,39.04166667
52,22,7,2016,42.66666667
53,23,7,2016,36.41666667
54,24,7,2016,39.83333333
55,25,7,2016,22.54166667
56,26,7,2016,35.66666667
57,27,7,2016,46.16666667
58,28,7,2016,60.58333333
59,29,7,2016,67.29166667
60,30,7,2016,34.20833333
61,31,7,2016,13.66666667
62,1,8,2016,13.04166667
63,2,8,2016,18.04166667
64,3,8,2016,19.29166667
65,4,8,2016,27.33333333
66,5,8,2016,21.375
67,6,8,2016,17.70833333
68,7,8,2016,6.111111111
69,8,8,2016,11.35294118
70,9,8,2016,11.58333333
71,10,8,2016,11.58333333
72,11,8,2016,17.58333333
73,12,8,2016,12.29166667
74,13,8,2016,16.16666667
75,14,8,2016,20.58333333
76,15,8,2016,16.5
77,16,8,2016,18.79166667
78,17,8,2016,20.41666667
79,18,8,2016,16.91666667
80,19,8,2016,20.58333333
81,20,8,2016,26.29166667
82,21,8,2016,24.5
83,22,8,2016,20.75
84,23,8,2016,21.5
85,24,8,2016,19.86956522
86,25,8,2016,26.375
87,26,8,2016,18.375
88,27,8,2016,19.33333333
89,28,8,2016,27.45833333
90,29,8,2016,28.54166667
91,30,8,2016,34.83333333
92,31,8,2016,41.5
93,1,9,2016,61.04166667
94,2,9,2016,67.70833333
95,3,9,2016,60.95833333
96,4,9,2016,35.5
97,5,9,2016,29.625
98,6,9,2016,43.91666667
99,7,9,2016,40.91666667
100,8,9,2016,65.29166667
101,9,9,2016,64.41176471
102,12,9,2016,29.33333333
103,13,9,2016,25.16666667
104,14,9,2016,11.95833333
105,15,9,2016,1.5
106,16,9,2016,3.533333333
107,17,9,2016,7.5
108,18,9,2016,25.25
109,19,9,2016,11.79166667
110,20,9,2016,17.54166667
111,21,9,2016,9.583333333
112,22,9,2016,12.39130435
113,23,9,2016,22.58333333
114,24,9,2016,29.75
115,25,9,2016,27.5
116,26,9,2016,17.70833333
117,27,9,2016,10.75
118,28,9,2016,7.166666667
119,29,9,2016,3.826086957
120,30,9,2016,37.41666667
,,,,27.91502938